,best,1000,100000,200000,300000,400000,600000
ar,0.22,0.06,0.06,0.14,0.12,0.2,0.04
ca,0.24,0.0,0.16,0.18,0.18,0.22,0.04
en,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eu,0.14,0.04,0.08,0.06,0.14,0.04,0.02
fr,0.26,0.02,0.18,0.28,0.22,0.26,0.06
hi,0.14,0.08,0.04,0.1,0.1,0.12,0.02
mr,0.04,0.0,0.02,0.04,0.02,0.06,0.08
pt,0.36,0.06,0.14,0.2,0.2,0.26,0.06
es,0.2,0.12,0.16,0.16,0.18,0.26,0.06
ta,0.08,0.06,0.08,0.1,0.16,0.14,0.02
ur,0.22,0.1,0.08,0.12,0.1,0.18,0.04
vi,0.08,0.08,0.04,0.12,0.14,0.2,0.04
zh,0.18,0.04,0.1,0.18,0.22,0.16,0.0
