,best,1000,10000,100000,200000,300000,400000,500000,600000
ar,0.32,0.08,0.1,0.16,0.26,0.22,0.22,0.06,0.04
ca,0.38,0.12,0.2,0.2,0.3,0.24,0.28,0.22,0.06
en,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eu,0.16,0.02,0.02,0.1,0.16,0.12,0.08,0.04,0.02
fr,0.26,0.18,0.22,0.24,0.14,0.24,0.28,0.18,0.1
hi,0.2,0.04,0.1,0.12,0.12,0.08,0.14,0.14,0.0
mr,0.06,0.0,0.04,0.06,0.04,0.1,0.04,0.06,0.04
pt,0.32,0.06,0.16,0.14,0.24,0.22,0.32,0.14,0.06
es,0.3,0.08,0.12,0.16,0.18,0.24,0.26,0.1,0.04
ta,0.16,0.06,0.1,0.12,0.08,0.1,0.08,0.08,0.06
ur,0.2,0.02,0.12,0.14,0.2,0.18,0.1,0.06,0.02
