,best,1000,10000,100000,200000,300000,400000,500000,600000
ar,0.18,0.02,0.14,0.08,0.18,0.1,0.02,0.16,0.2
ca,0.26,0.18,0.18,0.12,0.24,0.2,0.02,0.28,0.26
en,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eu,0.24,0.04,0.0,0.02,0.1,0.12,0.02,0.12,0.16
fr,0.36,0.14,0.18,0.08,0.26,0.22,0.02,0.3,0.3
hi,0.22,0.02,0.12,0.14,0.14,0.1,0.02,0.2,0.16
mr,0.02,0.06,0.04,0.1,0.02,0.0,0.04,0.04,0.06
pt,0.34,0.16,0.14,0.1,0.16,0.16,0.0,0.32,0.32
es,0.28,0.14,0.14,0.1,0.1,0.2,0.08,0.26,0.3
ta,0.16,0.06,0.1,0.06,0.02,0.1,0.04,0.1,0.1
ur,0.22,0.04,0.1,0.12,0.06,0.18,0.0,0.22,0.2
