,best,1000,10000,50000,100000,150000,200000,250000,300000
ar,0.4457881244011705,0.20221559916774448,0.20221559916774448,0.27997624574852886,0.22555688942243565,0.27279435016338144,0.18504734883378163,0.27252025114675166,0.27252025114675166
en,0.8548907473714842,0.8185548413323509,0.8185548413323509,0.8615588848852644,0.8633667623588329,0.8600099907048506,0.8595506684297437,0.8636570619039186,0.8636570619039186
es,0.7098428545706285,0.30240275347270124,0.30240275347270124,0.7141992763913414,0.711191605362411,0.7205908935082744,0.7245445995445997,0.715216148358068,0.715216148358068
eu,0.36745447905253825,0.31663388883138394,0.31663388883138394,0.3600314938086035,0.3611718408395278,0.3737298517860146,0.3806770268642332,0.3809991890497137,0.3809991890497137
fr,0.6881672447482472,0.29023683301545344,0.29023683301545344,0.6993381043577596,0.7146929116919436,0.7254749069007704,0.7092537715517241,0.7060198003754777,0.7060198003754777
hi,0.3109705343765607,0.16683689847375024,0.16683689847375024,0.22057793802581388,0.2115011604309852,0.2678132429561435,0.20405691795337574,0.2745921457840218,0.2745921457840218
mr,0.35336976320582875,0.3375,0.3375,0.21875,0.2495726495726496,0.323679727427598,0.22137404580152673,0.32388663967611336,0.32388663967611336
pt,0.6822043321620779,0.3567648256208441,0.3567648256208441,0.6776955910814179,0.6880511091140434,0.6880255455029272,0.6845653040435802,0.6953077012097959,0.6953077012097959
ta,0.3291139240506329,0.21630615640599002,0.21630615640599002,0.12916666666666665,0.17717206132879046,0.2106490478041197,0.22240000000000001,0.16547788873038516,0.16547788873038516
ur,0.26611547721800755,0.10973881352500506,0.10973881352500506,0.1452228069328441,0.13384935992855015,0.1443433029908973,0.11960504885993486,0.107542284171671,0.107542284171671
vi,0.4597988692650223,0.30276564774381365,0.30276564774381365,0.4155240079461214,0.4361675817381412,0.4570058239122987,0.4610890041807283,0.4706866024001574,0.4706866024001574
zh,0.36931900752782976,0.2941575771101254,0.2941575771101254,0.20177934431798877,0.09864774692576905,0.23637892774270688,0.18816591980755518,0.14873612444313175,0.14873612444313175
