,best,50000,100000,150000,200000
ar,0.8157843500013164,0.891268899634792,0.8937202935255407,0.887610206519994,0.8596726696010586
es,0.9052327408291932,0.9501256424707556,0.9521985117175064,0.9451331445710556,0.932197472789922
eu,0.8675974843752455,0.9184276655985392,0.9262376249155392,0.921628725138419,0.9001101329344033
fr,0.9079042360770684,0.950085144199068,0.9527368503278908,0.945257737123258,0.9309643481054276
hi,0.8413656168449645,0.923070269470326,0.924542305556513,0.9182068368321972,0.8923350034046243
pt,0.8897690521447302,0.9489404835075876,0.946406393608472,0.9382139335814756,0.9174485015676824
ta,0.7783831935808669,0.9020991123414812,0.8965127484524696,0.8879577059070649,0.8518443603427075
ur,0.8072138650335714,0.8867104713115357,0.8914762961135626,0.889113578083135,0.8617687259089554
vi,0.8931228901532439,0.936959880324611,0.9396151213648954,0.9334973726778092,0.9185509427923476
code,0.3641306839830927,0.6021232927867934,0.6009127160202785,0.5608868778997618,0.5085976816939058
